country,Country name,,,,,,,,
iso3,ISO 3166-1 alpha-3 code,,,,,,,,
year,Year of death,,,,,,,,
sex,Sex (Female or Male),,,,,,,,
age,Age-group from 0 to 80 plus,,,,,,,,
Nx,Sex- and age-specific population number,,,,,,,,
type,Estimate type for select year (reported or predicted),,,,,,,,
expected.mean,"Expected deaths from all-causes by age, sex and year (mean)",,,,,,,,
acm.mean,"Estimated deaths from all-causes by age, sex and year (mean)",,,,,,,,
excess.mean,"Excess deaths associated with COVID-19 pandemic from all-causes by age, sex and year (mean)",,,,,,,,
,,,,,,,,,
country,iso3,year,sex,age,Nx,type,expected.mean,acm.mean,excess.mean
Burundi,BDI,2021,Female,0 to 24,3904758,Predicted,15468,15468,0
Burundi,BDI,2021,Female,25 to 39,1314064,Predicted,2791,2772,-19
Burundi,BDI,2021,Female,40 to 49,411858,Predicted,2262,2413,151
Burundi,BDI,2021,Female,50 to 59,266530,Predicted,3111,3534,423
Burundi,BDI,2021,Female,60 to 69,186729,Predicted,4834,5695,861
Burundi,BDI,2021,Female,70 to 79,67399,Predicted,4077,4597,520
Burundi,BDI,2021,Female,80 plus,21234,Predicted,3263,3687,424
Burundi,BDI,2021,Male,0 to 24,3944579,Predicted,18859,18859,0
Burundi,BDI,2021,Male,25 to 39,1288185,Predicted,3326,3236,-90
Burundi,BDI,2021,Male,40 to 49,389818,Predicted,2771,2944,173
Burundi,BDI,2021,Male,50 to 59,229412,Predicted,4083,4657,574
Burundi,BDI,2021,Male,60 to 69,165565,Predicted,6349,7474,1125
Burundi,BDI,2021,Male,70 to 79,52138,Predicted,4130,4858,728
Burundi,BDI,2021,Male,80 plus,13160,Predicted,2387,2758,371
Belgium,BEL,2020,Female,0 to 24,1588170,Reported,353,380,27
Belgium,BEL,2020,Female,25 to 39,1106329,Reported,436,423,-13
Belgium,BEL,2020,Female,40 to 49,744463,Reported,924,928,4
Belgium,BEL,2020,Female,50 to 59,787192,Reported,2631,2482,-149
Belgium,BEL,2020,Female,60 to 69,698119,Reported,5493,5579,86
Belgium,BEL,2020,Female,70 to 79,507816,Reported,9098,10638,1540
Belgium,BEL,2020,Female,80 plus,413192,Reported,39722,47070,7348
Belgium,BEL,2020,Male,0 to 24,1684486,Reported,594,553,-41
Belgium,BEL,2020,Male,25 to 39,1126051,Reported,898,938,40
Belgium,BEL,2020,Male,40 to 49,773976,Reported,1443,1545,102
Belgium,BEL,2020,Male,50 to 59,811549,Reported,4227,4250,23
Belgium,BEL,2020,Male,60 to 69,671757,Reported,9044,9503,459
